9 Reentrant message: kDragIPCCompleted, current message: kDragIPCLeaveApplication
Unable to obtain a task name port right for pid 480: (os/kern) failure (0x5)
[ContinuousScroll] recalculateLayout: empty imageSizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=-1
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=0
[ContinuousScroll] configure: folder.images.count=321, containerWidth=580.0
[ContinuousScroll] preloaded 321 image sizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 983.5696821519088, 1281.9559902200488, 1856.6259168710435), centerY=1911.8826405874306, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 989.0953545230537, 1281.9559902200488, 1856.6259168701108), centerY=1917.408312958109, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 993.5158924208617, 1281.9559902200488, 1856.625916871043), centerY=1921.8288508563833, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 997.9364303176739, 1281.9559902200488, 1856.6259168701104), centerY=1926.249388752729, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1002.3569682149825, 1281.9559902200488, 1856.6259168701106), centerY=1930.6699266500377, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1005.6723716379645, 1281.9559902200488, 1856.6259168701101), centerY=1933.9853300730197, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1008.9877750614528, 1281.9559902200488, 1856.6259168710435), centerY=1937.3007334969745, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1011.1980440096017, 1281.9559902200488, 1856.6259168701104), centerY=1939.511002444657, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1013.4083129587648, 1281.9559902200488, 1856.6259168710435), centerY=1941.7212713942865, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1015.6185819069115, 1281.9559902200488, 1856.6259168701104), centerY=1943.9315403419666, newIndex=318, lastNotified=318
